Query,Query_Length,Retrieval_Time_MS,Generation_Time_MS,Total_Time_MS
What is the most basic thing for cancer diagnosis,Kisa,7,394,401
What does the Warburg phenomenon explain,Kisa,9,425,434
How are cancer cells destroyed,Kisa,5,1508,1513
Why is cancer heterogeneity complex,Kisa,10,414,424
What does the cancer genome record,Kisa,9,373,382
Who wrote The Cancer Atlas,Kisa,7,458,465
What is a class of drugs used in cancer treatment,Kisa,11,403,414
What was cancer immunotherapy in 2013,Kisa,11,440,451
Why is mammographic screening done for breast cancer,Kisa,10,784,794
By what is cancer evolution measured,Kisa,3,417,420
What is liquid biopsy used to detect,Kisa,10,474,484
How are normal cells distinguished from cancer cells,Kisa,13,443,456
Which targeted therapy is used in cancer treatment,Orta,20,504,524
What is the basic characteristic of cancer,Kisa,15,448,463
What does cancer surgery do,Orta,13,542,555
Is early-stage cancer treated well,Kisa,10,788,798
Are malignancies the second most common cause of death,Orta,7,478,485
What does the histological similarity of tumors mask,Orta,5,600,605
What is the breast cancer recurrence rate,Kisa,7,445,452
Why is it difficult to monitor cancer evolution,Orta,10,502,512
Is cancer one of the most dreaded diseases of the 20th century,Uzun,18,388,406
Are all cancers diagnosed early treatable,Orta,20,641,661
What are the four main methods of treating cancer patients,Uzun,14,490,504
What is the Warburg phenomenon and when was it discovered,Uzun,4,1140,1144
What is one of the new approaches in cancer treatment and why is it important,Uzun,19,438,457
What is liquid biopsy used for in breast cancer patients,Orta,6,782,788
What stops the growth of cancer cells,Orta,14,482,496
How is cancer genetically monitored,Orta,5,334,339
What are the benefits of liquid biopsy,Orta,5,860,865
How do metabolic changes in cancer provide an advantage to cancer cells,Uzun,16,662,678
What are the two main characteristics of cancer cell metabolism,Uzun,5,694,699
What is the reason for malignancies being the second most common cause of death,Uzun,10,385,395
Why is the genome useful for studying cancer evolution,Uzun,6,546,552
Why is cancer epigenetics important,Uzun,13,995,1008
How long does local recurrence of breast cancer take after surgery,Uzun,10,378,388
What does the term ‘field cancerization’ in breast cancer mean,Uzun,15,550,565
How do changes in tumor cell metabolism provide an advantage in cancer treatment,Uzun,14,635,649
Why is matching embryonic mouse tissues and childhood cancers important,Uzun,10,684,694
How is cancer described as one of the most dreaded diseases of the 20th century and what is its current status,Uzun,2,398,400
What are the essential hallmarks of cancer in the paper by Hanahan and Weinberg,Uzun,18,1004,1022
Why was immunotherapy chosen as the 'Breakthrough of the Year' in 2013,Uzun,17,330,347
Why does treatment become difficult when cancer reaches the metastatic stage,Uzun,9,474,483
How does cancer genomics help us understand cancer evolution,Uzun,4,1296,1300
Why is tumor heterogeneity a problem,Uzun,7,312,319
How is genomic analysis used in localized breast cancer,Uzun,10,3789,3799
How does the metabolism of cancer cells differ from that of normal cells,Uzun,11,308,319
Why is it challenging to study cancer evolution and how can this challenge be overcome,Uzun,12,549,561
What role does circulating tumor DNA (ctDNA) play in monitoring cancer treatment,Uzun,16,912,928
Why has a cure for cancer not yet been found for everyone,Uzun,7,423,430
How is mitochondrial biogenesis in cancer cells inhibited,Orta,9,440,449
What are the causes of cancer,Kisa,8,363,371
What are the treatment methods for cancer,Kisa,18,364,382
What is the use of cancer epigenetics,Orta,10,519,529
What is the recurrence rate of breast cancer,Kisa,12,312,324
What monitors cancer evolution,Kisa,16,795,811
Why is cancer the most dreaded disease,Orta,14,703,717
