text,type,reference_answer
"What is the most basic thing for cancer diagnosis","Kisa","Early diagnosis is the most basic thing for cancer diagnosis."
"What does the Warburg phenomenon explain","Kisa","The Warburg phenomenon explains the metabolism of tumor cells."
"How are cancer cells destroyed","Kisa","Cancer cells are destroyed through surgery, chemotherapy, and radiation."
"Why is cancer heterogeneity complex","Kisa","Cancer heterogeneity is complex because it is difficult to understand the diversity within a tumor."
"What does the cancer genome record","Kisa","The cancer genome records the evolution of cancer."
"Who wrote The Cancer Atlas","Kisa","The Cancer Atlas was written by Mackay, Jemal, Lee, and Parkin."
"What is a class of drugs used in cancer treatment","Kisa","Hormonal therapy is a class of drugs used in cancer treatment."
"What was cancer immunotherapy in 2013","Kisa","In 2013, cancer immunotherapy was named the 'Breakthrough of the Year'."
"Why is mammographic screening done for breast cancer","Kisa","Mammographic screening is done for the early diagnosis of breast cancer."
"By what is cancer evolution measured","Kisa","Cancer evolution is measured from the genome."
"What is liquid biopsy used to detect","Kisa","Liquid biopsy is used to detect circulating tumor DNA."
"How are normal cells distinguished from cancer cells","Kisa","Normal cells are distinguished from cancer cells by their transcriptome profile."
"Which targeted therapy is used in cancer treatment","Orta","PI3K inhibitor alpelisib is a targeted therapy used in cancer treatment."
"What is the basic characteristic of cancer","Kisa","Metabolic reprogramming is a basic characteristic of cancer."
"What does cancer surgery do","Orta","Cancer surgery surgically removes the cancerous mass."
"Is early-stage cancer treated well","Kisa","Yes, early-stage cancer is usually treated very well."
"Are malignancies the second most common cause of death","Orta","Yes, malignancies are the second most common cause of death in children and adults."
"What does the histological similarity of tumors mask","Orta","The histological similarity of tumors masks their clinical diversity."
"What is the breast cancer recurrence rate","Kisa","The breast cancer recurrence rate is up to 15% within the first 10 years."
"Why is it difficult to monitor cancer evolution","Orta","It is difficult to monitor cancer evolution because it is not practical to observe untreated cancer."
"Is cancer one of the most dreaded diseases of the 20th century","Uzun","Yes, cancer is one of the most dreaded diseases of the 20th century and continues to increase in the 21st century as well."
"Are all cancers diagnosed early treatable","Orta","Yes, all cancers can be treated well if they are caught early enough."
"What are the four main methods of treating cancer patients","Uzun","The four main methods of treating cancer patients are surgery, chemotherapy, radiation, and spontaneous regression."
"What is the Warburg phenomenon and when was it discovered","Uzun","The Warburg phenomenon is a tumor-specific metabolic change that was discovered by Otto Warburg in the 1920s."
"What is one of the new approaches in cancer treatment and why is it important","Uzun","One of the new approaches in cancer treatment is targeted therapy, which allows for subtyping tumors and predicting their response to treatment."
"What is liquid biopsy used for in breast cancer patients","Orta","Liquid biopsy is used to detect and monitor localized breast cancer in patients."
"What stops the growth of cancer cells","Orta","The growth of cancer cells is stopped by surgical removal, chemotherapy, radiation, or spontaneous shrinkage."
"How is cancer genetically monitored","Orta","Cancer is genetically monitored by tracking ongoing mutations that uniquely mark clonal lineages."
"What are the benefits of liquid biopsy","Orta","The benefits of liquid biopsy include non-invasive early diagnosis and treatment monitoring."
"How do metabolic changes in cancer provide an advantage to cancer cells","Uzun","Metabolic changes in cancer provide an advantage to cancer cells by activating signaling pathways and enzymatic machinery that affect anabolic metabolism."
"What are the two main characteristics of cancer cell metabolism","Uzun","The two main characteristics of cancer cell metabolism are the inhibition of mitochondrial biogenesis and the suppression of cellular respiration."
"What is the reason for malignancies being the second most common cause of death","Uzun","Malignancies are the second most common cause of death because the complex diversity of cancer has not been sufficiently understood."
"Why is the genome useful for studying cancer evolution","Uzun","The genome is useful for studying cancer evolution because it provides a rich record of cancer development through mutations that uniquely mark clonal lineages within the tumor."
